,Algorithm,MSE,R2_Score
3,RandomForestRegressor,7861785.4513756065,0.9847486793348963
5,DecisionTreeRegressor,12554736.327543734,0.9756446788351757
0,XGBRegressor,12591241.508624101,0.9755738613057432
1,GradientBoostingRegressor,25011205.56343154,0.9514799890396428
2,AdaBoostRegressor,33250931.81331477,0.9354954893344705
7,Ridge,45720759.122906476,0.9113048857987591
6,LinearRegression,45720769.75632412,0.9113048651706634
4,KNeighborsRegressor,121873750.8313305,0.7635733427115663
